timestamp,source,request,status,size,user_agent,anomaly
2015-05-17T10:05:03+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/images/kibana-search.png HTTP/1.1,200,203023,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:43+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard3.png HTTP/1.1,200,171717,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:47+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/plugin/highlight/highlight.js HTTP/1.1,200,26185,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:12+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js HTTP/1.1,200,7697,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:07+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/plugin/notes/notes.js HTTP/1.1,200,2892,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:34+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/images/sad-medic.png HTTP/1.1,200,430406,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",-1
2015-05-17T10:05:57+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf HTTP/1.1,200,38720,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:50+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf HTTP/1.1,200,41820,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:24+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/images/frontend-response-codes.png HTTP/1.1,200,52878,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
2015-05-17T10:05:50+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/images/kibana-dashboard.png HTTP/1.1,200,321631,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",-1
2015-05-17T10:05:46+00:00,83.149.9.216,GET /presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg HTTP/1.1,200,2126,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",1
